lat,lng,country,target
35.685,139.7514,Japan,0
40.6943,-73.9249,United States,1
19.4424,-99.131,Mexico,0
19.017,72.857,India,0
-23.5587,-46.625,Brazil,0
28.67,77.23,India,0
31.2165,121.4365,China,0
22.495,88.3247,India,0
34.1139,-118.4068,United States,1
23.7231,90.4086,Bangladesh,0
-34.6025,-58.3975,Argentina,0
24.87,66.99,Pakistan,0
30.05,31.25,Egypt,0
-22.925,-43.225,Brazil,0
34.75,135.4601,Japan,0
39.9289,116.3883,China,0
14.6042,120.9822,Philippines,0
55.7522,37.6155,Russia,0
41.105,29.01,Turkey,0
48.8667,2.3333,France,0
37.5663,126.9997,"Korea, South",0
6.4433,3.3915,Nigeria,0
-6.1744,106.8294,Indonesia,0
23.145,113.325,China,0
41.8373,-87.6862,United States,1
51.5,-0.1167,United Kingdom,0
-12.048,-77.0501,Peru,0
35.6719,51.4243,Iran,0
-4.3297,15.315,Congo (Kinshasa),0
4.5964,-74.0833,Colombia,0
22.5524,114.1221,China,0
30.58,114.27,China,0
22.305,114.185,Hong Kong,0
39.13,117.2,China,0
13.09,80.28,India,0
25.0358,121.5683,Taiwan,0
12.97,77.56,India,0
13.75,100.5166,Thailand,0
31.56,74.35,Pakistan,0
29.565,106.595,China,0
25.7839,-80.2102,United States,1
17.4,78.48,India,0
32.7936,-96.7662,United States,1
-33.45,-70.667,Chile,0
40.0077,-75.1339,United States,1
-19.915,-43.915,Brazil,0
40.4,-3.6834,Spain,0
29.7869,-95.3905,United States,1
23.0301,72.58,India,0
10.78,106.695,Vietnam,0
38.9047,-77.0163,United States,1
33.7627,-84.4225,United States,1
43.7,-79.42,Canada,0
1.293,103.8558,Singapore,0
-8.8383,13.2344,Angola,0
33.3386,44.3939,Iraq,0
41.3833,2.1834,Spain,0
22.5804,88.3299,India,0
41.805,123.45,China,0
15.5881,32.5342,Sudan,0
18.53,73.85,India,0
42.3188,-71.0846,United States,1
-33.92,151.1852,Australia,0
59.939,30.316,Russia,0
22.33,91.8,Bangladesh,0
23.0489,113.7447,China,0
24.6408,46.7727,Saudi Arabia,0
21.0333,105.85,Vietnam,0
20.67,-103.33,Mexico,0
-37.82,144.975,Australia,0
31.2,29.95,Egypt,0
30.67,104.07,China,0
16.7834,96.1667,Burma,0
33.5722,-112.0891,United States,1
34.275,108.895,China,0
-30.05,-51.2,Brazil,0
21.2,72.84,India,0
23.0965,109.6091,China,0
5.32,-4.04,Côte D’Ivoire,0
-15.7833,-47.9161,Brazil,0
39.9272,32.8644,Turkey,0
25.67,-100.33,Mexico,0
35.32,139.58,Japan,0
32.05,118.78,China,0
